dataset,split,seed,test_spearman
aav,two_vs_many,9,0.5441672801971436
aav,two_vs_many,6,0.6167849898338318
aav,one_vs_many,6,0.529344916343689
aav,one_vs_many,7,0.5444962382316589
aav,two_vs_many,8,0.697220504283905
aav,one_vs_many,8,0.5239771008491516
aav,two_vs_many,7,0.5486394166946411
aav,one_vs_many,9,0.4466035664081573
aav,seven_vs_many,8,0.7326158285140991
aav,seven_vs_many,7,0.7348313331604004
aav,seven_vs_many,9,0.7378312349319458
aav,seven_vs_many,6,0.7359246611595154
aav,des_mut,6,0.782645046710968
aav,low_vs_high,6,0.2795300483703613
aav,low_vs_high,9,0.2613053321838379
aav,low_vs_high,8,0.2740817070007324
aav,low_vs_high,7,0.2804926335811615
aav,des_mut,7,0.7948407530784607
aav,des_mut,9,0.7897590398788452
aav,des_mut,8,0.7820578217506409
aav,mut_des,7,0.7652023434638977
aav,mut_des,6,0.7607337236404419
aav,mut_des,9,0.7667354941368103
aav,mut_des,8,0.7494730353355408
gb1,low_vs_high,7,0.4300173223018646
gb1,three_vs_rest,6,0.7779407501220703
gb1,low_vs_high,6,0.4660475254058838
gb1,two_vs_rest,7,0.2745417058467865
gb1,three_vs_rest,8,0.793901264667511
gb1,three_vs_rest,9,0.7877205610275269
gb1,one_vs_rest,9,0.2571107447147369
gb1,one_vs_rest,6,0.1970423907041549
gb1,two_vs_rest,9,0.3336310386657715
gb1,one_vs_rest,7,0.0322740450501441
gb1,two_vs_rest,6,0.298921525478363
gb1,one_vs_rest,8,0.1555743515491485
gb1,two_vs_rest,8,0.3402056694030761
gb1,three_vs_rest,7,0.7773810029029846
gb1,low_vs_high,9,0.4522103369235992
gb1,low_vs_high,8,0.4286483526229858
